
  0%|                                                                                                            | 0/938 [00:00<?, ?it/s]
Loss=1.5742566585540771 Batch_id=63 Accuracy=32.54:   7%|###2                                           | 64/938 [00:02<00:29, 29.68it/s]
Loss=1.445251703262329 Batch_id=64 Accuracy=33.05:   7%|###2                                            | 64/938 [00:02<00:29, 29.68it/s]
Loss=1.4925060272216797 Batch_id=65 Accuracy=33.45:   7%|###2                                           | 64/938 [00:02<00:29, 29.68it/s]
Loss=1.6160069704055786 Batch_id=66 Accuracy=33.72:   7%|###2                                           | 64/938 [00:02<00:29, 29.68it/s]
Loss=1.4592981338500977 Batch_id=67 Accuracy=33.98:   7%|###2                                           | 64/938 [00:02<00:29, 29.68it/s]
Loss=1.4592981338500977 Batch_id=67 Accuracy=33.98:   7%|###4                                           | 68/938 [00:02<00:27, 31.07it/s]
Loss=1.33513343334198 Batch_id=68 Accuracy=34.35:   7%|###5                                             | 68/938 [00:02<00:27, 31.07it/s]
Loss=1.424858570098877 Batch_id=69 Accuracy=34.71:   7%|###4                                            | 68/938 [00:02<00:27, 31.07it/s]
Loss=1.3871718645095825 Batch_id=70 Accuracy=35.06:   7%|###4                                           | 68/938 [00:02<00:27, 31.07it/s]
Loss=1.3875219821929932 Batch_id=71 Accuracy=35.35:   7%|###4                                           | 68/938 [00:02<00:27, 31.07it/s]
Loss=1.3875219821929932 Batch_id=71 Accuracy=35.35:   8%|###6                                           | 72/938 [00:02<00:42, 20.49it/s]
Loss=1.3919622898101807 Batch_id=72 Accuracy=35.51:   8%|###6                                           | 72/938 [00:02<00:42, 20.49it/s]
Loss=1.4202920198440552 Batch_id=73 Accuracy=35.90:   8%|###6                                           | 72/938 [00:02<00:42, 20.49it/s]
Loss=1.2746461629867554 Batch_id=74 Accuracy=36.31:   8%|###6                                           | 72/938 [00:02<00:42, 20.49it/s]
Loss=1.2746461629867554 Batch_id=74 Accuracy=36.31:   8%|###7                                           | 75/938 [00:02<00:38, 22.24it/s]
Loss=1.3562390804290771 Batch_id=75 Accuracy=36.74:   8%|###7                                           | 75/938 [00:02<00:38, 22.24it/s]
Loss=1.417101502418518 Batch_id=76 Accuracy=37.16:   8%|###8                                            | 75/938 [00:03<00:38, 22.24it/s]
Loss=1.3244822025299072 Batch_id=77 Accuracy=37.30:   8%|###7                                           | 75/938 [00:03<00:38, 22.24it/s]
Loss=1.2755240201950073 Batch_id=78 Accuracy=37.70:   8%|###7                                           | 75/938 [00:03<00:38, 22.24it/s]
Loss=1.2755240201950073 Batch_id=78 Accuracy=37.70:   8%|###9                                           | 79/938 [00:03<00:34, 24.63it/s]
Loss=1.2626816034317017 Batch_id=79 Accuracy=38.05:   8%|###9                                           | 79/938 [00:03<00:34, 24.63it/s]
Loss=1.467406988143921 Batch_id=80 Accuracy=38.29:   8%|####                                            | 79/938 [00:03<00:34, 24.63it/s]
Loss=1.5371752977371216 Batch_id=81 Accuracy=38.40:   8%|###9                                           | 79/938 [00:03<00:34, 24.63it/s]
Loss=1.5371752977371216 Batch_id=81 Accuracy=38.40:   9%|####1                                          | 82/938 [00:03<00:34, 25.08it/s]
Loss=1.2548315525054932 Batch_id=82 Accuracy=38.80:   9%|####1                                          | 82/938 [00:03<00:34, 25.08it/s]
Loss=1.2909305095672607 Batch_id=83 Accuracy=38.99:   9%|####1                                          | 82/938 [00:03<00:34, 25.08it/s]
Loss=1.2082808017730713 Batch_id=84 Accuracy=39.34:   9%|####1                                          | 82/938 [00:03<00:34, 25.08it/s]
Loss=1.2082808017730713 Batch_id=84 Accuracy=39.34:   9%|####2                                          | 85/938 [00:03<00:33, 25.64it/s]
Loss=1.2563432455062866 Batch_id=85 Accuracy=39.72:   9%|####2                                          | 85/938 [00:03<00:33, 25.64it/s]
Loss=1.176991581916809 Batch_id=86 Accuracy=40.09:   9%|####3                                           | 85/938 [00:03<00:33, 25.64it/s]
Loss=1.1525856256484985 Batch_id=87 Accuracy=40.43:   9%|####2                                          | 85/938 [00:03<00:33, 25.64it/s]
Loss=1.1618099212646484 Batch_id=88 Accuracy=40.82:   9%|####2                                          | 85/938 [00:03<00:33, 25.64it/s]
Loss=1.1618099212646484 Batch_id=88 Accuracy=40.82:   9%|####4                                          | 89/938 [00:03<00:29, 28.49it/s]
Loss=1.2161939144134521 Batch_id=89 Accuracy=41.15:   9%|####4                                          | 89/938 [00:03<00:29, 28.49it/s]
Loss=1.1055508852005005 Batch_id=90 Accuracy=41.48:   9%|####4                                          | 89/938 [00:03<00:29, 28.49it/s]
Loss=1.1353256702423096 Batch_id=91 Accuracy=41.78:   9%|####4                                          | 89/938 [00:03<00:29, 28.49it/s]
Loss=1.0457152128219604 Batch_id=92 Accuracy=42.14:   9%|####4                                          | 89/938 [00:03<00:29, 28.49it/s]
Loss=1.0457152128219604 Batch_id=92 Accuracy=42.14:  10%|####6                                          | 93/938 [00:03<00:27, 30.66it/s]
Loss=1.320542573928833 Batch_id=93 Accuracy=42.25:  10%|####7                                           | 93/938 [00:03<00:27, 30.66it/s]
Loss=1.084456205368042 Batch_id=94 Accuracy=42.58:  10%|####7                                           | 93/938 [00:03<00:27, 30.66it/s]
Loss=1.1166666746139526 Batch_id=95 Accuracy=42.85:  10%|####6                                          | 93/938 [00:03<00:27, 30.66it/s]
Loss=1.1775442361831665 Batch_id=96 Accuracy=43.11:  10%|####6                                          | 93/938 [00:03<00:27, 30.66it/s]
Loss=1.1775442361831665 Batch_id=96 Accuracy=43.11:  10%|####8                                          | 97/938 [00:03<00:26, 32.28it/s]
Loss=1.1534627676010132 Batch_id=97 Accuracy=43.37:  10%|####8                                          | 97/938 [00:03<00:26, 32.28it/s]
Loss=1.0137252807617188 Batch_id=98 Accuracy=43.72:  10%|####8                                          | 97/938 [00:03<00:26, 32.28it/s]
Loss=1.1169039011001587 Batch_id=99 Accuracy=43.94:  10%|####8                                          | 97/938 [00:03<00:26, 32.28it/s]
Loss=1.0700294971466064 Batch_id=100 Accuracy=44.25:  10%|####7                                         | 97/938 [00:03<00:26, 32.28it/s]
Loss=1.0700294971466064 Batch_id=100 Accuracy=44.25:  11%|####8                                        | 101/938 [00:03<00:27, 30.97it/s]
Loss=1.0478568077087402 Batch_id=101 Accuracy=44.52:  11%|####8                                        | 101/938 [00:03<00:27, 30.97it/s]
Loss=1.0433696508407593 Batch_id=102 Accuracy=44.78:  11%|####8                                        | 101/938 [00:03<00:27, 30.97it/s]
Loss=1.1379303932189941 Batch_id=103 Accuracy=45.00:  11%|####8                                        | 101/938 [00:03<00:27, 30.97it/s]
Loss=1.1090326309204102 Batch_id=104 Accuracy=45.16:  11%|####8                                        | 101/938 [00:03<00:27, 30.97it/s]
Loss=1.1090326309204102 Batch_id=104 Accuracy=45.16:  11%|#####                                        | 105/938 [00:03<00:30, 27.13it/s]
Loss=0.9767904877662659 Batch_id=105 Accuracy=45.40:  11%|#####                                        | 105/938 [00:03<00:30, 27.13it/s]
Loss=0.9983236193656921 Batch_id=106 Accuracy=45.71:  11%|#####                                        | 105/938 [00:04<00:30, 27.13it/s]
Loss=1.022481918334961 Batch_id=107 Accuracy=45.92:  11%|#####1                                        | 105/938 [00:04<00:30, 27.13it/s]
Loss=0.944707989692688 Batch_id=108 Accuracy=46.23:  11%|#####1                                        | 105/938 [00:04<00:30, 27.13it/s]
Loss=0.944707989692688 Batch_id=108 Accuracy=46.23:  12%|#####3                                        | 109/938 [00:04<00:28, 29.43it/s]
Loss=0.8186396956443787 Batch_id=109 Accuracy=46.58:  12%|#####2                                       | 109/938 [00:04<00:28, 29.43it/s]
Loss=1.075594186782837 Batch_id=110 Accuracy=46.78:  12%|#####3                                        | 109/938 [00:04<00:28, 29.43it/s]
Loss=1.0455440282821655 Batch_id=111 Accuracy=47.03:  12%|#####2                                       | 109/938 [00:04<00:28, 29.43it/s]
Loss=1.002801537513733 Batch_id=112 Accuracy=47.29:  12%|#####3                                        | 109/938 [00:04<00:28, 29.43it/s]
Loss=1.002801537513733 Batch_id=112 Accuracy=47.29:  12%|#####5                                        | 113/938 [00:04<00:27, 30.12it/s]
Loss=0.9673377275466919 Batch_id=113 Accuracy=47.55:  12%|#####4                                       | 113/938 [00:04<00:27, 30.12it/s]
Loss=0.9420889616012573 Batch_id=114 Accuracy=47.74:  12%|#####4                                       | 113/938 [00:04<00:27, 30.12it/s]
Loss=0.8617611527442932 Batch_id=115 Accuracy=48.06:  12%|#####4                                       | 113/938 [00:04<00:27, 30.12it/s]
Loss=0.9095487594604492 Batch_id=116 Accuracy=48.40:  12%|#####4                                       | 113/938 [00:04<00:27, 30.12it/s]
Loss=0.9095487594604492 Batch_id=116 Accuracy=48.40:  12%|#####6                                       | 117/938 [00:04<00:26, 30.64it/s]
Loss=0.9379738569259644 Batch_id=117 Accuracy=48.61:  12%|#####6                                       | 117/938 [00:04<00:26, 30.64it/s]
Loss=0.80704265832901 Batch_id=118 Accuracy=48.92:  12%|#####8                                         | 117/938 [00:04<00:26, 30.64it/s]
Loss=0.7586034536361694 Batch_id=119 Accuracy=49.18:  12%|#####6                                       | 117/938 [00:04<00:26, 30.64it/s]
Loss=0.9100502133369446 Batch_id=120 Accuracy=49.47:  12%|#####6                                       | 117/938 [00:04<00:26, 30.64it/s]
Loss=0.9100502133369446 Batch_id=120 Accuracy=49.47:  13%|#####8                                       | 121/938 [00:04<00:26, 30.97it/s]
Loss=0.8021863102912903 Batch_id=121 Accuracy=49.73:  13%|#####8                                       | 121/938 [00:04<00:26, 30.97it/s]
Loss=0.8180593848228455 Batch_id=122 Accuracy=49.97:  13%|#####8                                       | 121/938 [00:04<00:26, 30.97it/s]
Loss=0.8463166356086731 Batch_id=123 Accuracy=50.16:  13%|#####8                                       | 121/938 [00:04<00:26, 30.97it/s]
Loss=0.7967954874038696 Batch_id=124 Accuracy=50.38:  13%|#####8                                       | 121/938 [00:04<00:26, 30.97it/s]
Loss=0.7967954874038696 Batch_id=124 Accuracy=50.38:  13%|#####9                                       | 125/938 [00:04<00:26, 31.25it/s]
Loss=0.7458438873291016 Batch_id=125 Accuracy=50.68:  13%|#####9                                       | 125/938 [00:04<00:26, 31.25it/s]
Loss=0.7410679459571838 Batch_id=126 Accuracy=50.91:  13%|#####9                                       | 125/938 [00:04<00:26, 31.25it/s]
Loss=0.8457234501838684 Batch_id=127 Accuracy=51.10:  13%|#####9                                       | 125/938 [00:04<00:26, 31.25it/s]
Loss=0.6862763166427612 Batch_id=128 Accuracy=51.39:  13%|#####9                                       | 125/938 [00:04<00:26, 31.25it/s]
Loss=0.6862763166427612 Batch_id=128 Accuracy=51.39:  14%|######1                                      | 129/938 [00:04<00:25, 31.90it/s]
Loss=0.8252564072608948 Batch_id=129 Accuracy=51.65:  14%|######1                                      | 129/938 [00:04<00:25, 31.90it/s]
Loss=0.7478781938552856 Batch_id=130 Accuracy=51.88:  14%|######1                                      | 129/938 [00:04<00:25, 31.90it/s]
Loss=0.8087987303733826 Batch_id=131 Accuracy=52.07:  14%|######1                                      | 129/938 [00:04<00:25, 31.90it/s]
Loss=0.8417451977729797 Batch_id=132 Accuracy=52.29:  14%|######1                                      | 129/938 [00:04<00:25, 31.90it/s]
Loss=0.8417451977729797 Batch_id=132 Accuracy=52.29:  14%|######3                                      | 133/938 [00:04<00:24, 32.71it/s]
Loss=0.9538123607635498 Batch_id=133 Accuracy=52.45:  14%|######3                                      | 133/938 [00:04<00:24, 32.71it/s]
Loss=0.7755350470542908 Batch_id=134 Accuracy=52.69:  14%|######3                                      | 133/938 [00:04<00:24, 32.71it/s]
Loss=0.8381654620170593 Batch_id=135 Accuracy=52.92:  14%|######3                                      | 133/938 [00:04<00:24, 32.71it/s]
Loss=0.6551657319068909 Batch_id=136 Accuracy=53.23:  14%|######3                                      | 133/938 [00:04<00:24, 32.71it/s]
